brand,name,gender,price,rating
Armaf,Club de Nuit Intense Man,Men,35,4.7
Azzaro,The Most Wanted,Men,95,4.8
Giorgio Armani,Stronger With You,Men,100,4.7
Afnan,Turathi Blue,Unisex,40,4.6
Versace,Eros,Men,85,4.5
Dior,Sauvage,Men,120,4.6
Chanel,Bleu de Chanel,Men,140,4.8
Afnan,Turathi Blue Absolu,Women,155,4.1
Afnan,Modest Une EDP,Unisex,246,3.9
Giorgio Armani,Acqua Di Gio Profondo EDT,Unisex,338,3.9
Chanel,No. 5 Elixir,Men,259,4.5
Armaf,Club de Nuit Sillage Absolu,Women,204,4.2
Chanel,Coco Mademoiselle EDP,Men,224,4.0
Nishane,Ego Parfum,Men,265,4.4
Xerjoff,Naxos Intense,Women,346,4.8
Nishane,Ego EDT,Unisex,65,3.9
Tom Ford,Ombre Leather EDP,Men,81,4.3
Valentino,Coral Fantasy EDT,Women,211,4.1
Creed,Aventus Intense,Unisex,117,4.4
Tom Ford,Oud Wood Elixir,Women,168,4.9
Lattafa,Asad Absolu,Women,58,4.1
Azzaro,Chrome Elixir,Women,63,4.1
Rasasi,Shuhrah EDT,Unisex,285,4.3
Valentino,Uomo Intense Parfum,Men,156,4.6
Lattafa,Bade'e Al Oud Honor & Glory Absolu,Unisex,249,4.8
Xerjoff,Alexandria II EDT,Men,290,4.4
Azzaro,The Most Wanted EDT,Unisex,111,4.7
Prada,Infusion d'Iris EDP,Women,225,4.5
Valentino,Voce Viva Parfum,Unisex,35,4.6
Afnan,Modest Une Extreme,Women,204,4.0
Prada,Luna Rossa Black Elixir,Men,164,4.9
Dior,Miss Dior EDP,Unisex,182,4.7
Maison Francis Kurkdjian,Aqua Universalis EDT,Men,221,4.7
Lattafa,Fakhar Black EDP,Unisex,195,4.4
Afnan,Supremacy Not Only Intense Extreme,Women,152,4.0
Rasasi,Hawas EDP,Unisex,278,4.7
Lattafa,Asad EDT,Unisex,273,4.8
Dior,Dior Homme Intense,Unisex,246,4.9
YSL,L'Homme Absolu,Unisex,221,4.3
Maison Francis Kurkdjian,724 EDP,Men,145,4.0
Armaf,Urban Elixir Intense,Men,331,4.1
Giorgio Armani,Stronger With You EDT,Men,46,4.8
Giorgio Armani,My Way EDT,Women,278,4.1
Versace,Man Eau Fraiche Intense,Women,154,4.7
Prada,Luna Rossa Black EDP,Men,250,4.3
Prada,Paradoxe Extreme,Unisex,57,4.6
Afnan,Turathi Blue Elixir,Unisex,203,4.7
Afnan,9PM EDT,Men,304,4.3
Prada,Luna Rossa Black Parfum,Women,157,4.8
Giorgio Armani,Code Parfum Extreme,Unisex,80,4.0
Lattafa,Khamrah EDP,Men,115,4.3
Jean Paul Gaultier,Ultra Male Extreme,Women,60,4.1
Armaf,Iconic Parfum,Women,176,4.3
Lattafa,Yara EDT,Men,181,4.1
Azzaro,The Most Wanted Parfum Absolu,Unisex,61,4.6
Azzaro,The Most Wanted Intense,Women,287,4.8
Maison Francis Kurkdjian,Grand Soir EDP,Unisex,71,4.8
Giorgio Armani,My Way EDP,Unisex,150,4.3
Rasasi,La Yuqawam Intense,Unisex,50,4.5
Prada,Infusion d'Iris Intense,Unisex,191,4.8
Chanel,Coco Mademoiselle EDT,Women,232,4.0
YSL,L'Homme Parfum,Men,34,4.4
Lattafa,Asad Intense,Women,97,4.8
Giorgio Armani,Acqua Di Gio Profondo Parfum,Women,110,4.3
Lattafa,Bade'e Al Oud Honor & Glory Intense,Unisex,300,3.9
Afnan,9PM Parfum,Men,84,4.6
Versace,Dylan Blue Parfum,Unisex,137,4.6
Chanel,Coco Mademoiselle Intense,Women,158,4.8
Azzaro,The Most Wanted Absolu,Women,171,3.9
Parfums de Marly,Pegasus Absolu,Women,112,4.6
Lattafa,Yara Intense,Men,87,4.0
Versace,Man Eau Fraiche EDP,Women,328,4.5
YSL,Myself Extreme,Men,213,4.1
Tom Ford,Tobacco Vanille Parfum,Unisex,238,4.9
Versace,Eros Flame Extreme,Men,120,4.8
Parfums de Marly,Herod Extreme,Unisex,157,4.2
Afnan,SNOI Extreme,Men,270,4.1
Valentino,Coral Fantasy Parfum,Men,144,3.9
Chanel,Egoiste Platinum Parfum,Women,65,4.9
Creed,Silver Mountain Water Absolu,Unisex,234,4.6
Lattafa,Bade'e Al Oud Honor & Glory EDP,Men,163,4.1
Creed,Aventus EDP,Unisex,252,4.2
Parfums de Marly,Herod Intense,Unisex,89,4.3
Rasasi,La Yuqawam Parfum,Men,253,3.9
Lattafa,Asad Parfum,Women,65,4.8
Parfums de Marly,Delina Parfum,Unisex,93,4.6
YSL,Libré Parfum,Unisex,239,4.2
YSL,Libré EDT,Men,245,4.6
Xerjoff,Erba Pura Intense,Unisex,184,4.3
Armaf,Club de Nuit Milestone Parfum,Men,250,4.7
Guerlain,Shalimar Elixir,Women,256,4.6
Maison Francis Kurkdjian,724 Extreme,Unisex,116,4.6
YSL,Libré Absolu,Unisex,347,4.2
Tom Ford,Ombre Leather EDT,Men,105,3.9
Tom Ford,Black Orchid Intense,Men,263,4.3
Rasasi,La Yuqawam Absolu,Unisex,226,4.4
Tom Ford,Oud Wood Absolu,Unisex,32,4.8
Afnan,SNOI EDT,Men,295,4.4
Lattafa,Asad Extreme,Men,263,4.0
Valentino,Voce Viva Intense,Unisex,192,4.9
Valentino,Voce Viva Extreme,Unisex,288,4.3
Jean Paul Gaultier,Scandal Parfum,Men,171,4.7
Maison Francis Kurkdjian,724 Absolu,Men,170,4.3
YSL,La Nuit de L'Homme Parfum,Women,193,4.8
Tom Ford,Black Orchid Absolu,Men,139,4.0
Prada,Luna Rossa Ocean Intense,Women,242,4.0
Rasasi,Hawas Extreme,Unisex,224,4.4
Nishane,Fan Your Flames Extreme,Women,244,4.4
Lattafa,Fakhar Black EDT,Women,142,4.2
Jean Paul Gaultier,Le Male Elixir,Women,237,4.6
Valentino,Uomo Intense,Unisex,43,4.8
Rasasi,Hawas Ice Absolu,Men,72,4.5
Versace,Pour Homme EDT,Men,163,4.3
Parfums de Marly,Herod Parfum,Women,159,4.7
Jean Paul Gaultier,Le Male Elixir Absolu,Unisex,56,4.9
Nishane,Ani Absolu,Men,50,4.7
Tom Ford,Oud Wood Extreme,Men,348,4.1
Versace,Pour Homme Absolu,Men,318,4.8
Valentino,Coral Fantasy Extreme,Women,115,4.5
Xerjoff,Torino21 Absolu,Men,68,4.5
Tom Ford,Tobacco Vanille Absolu,Women,337,4.7
Rasasi,Hawas Parfum,Unisex,249,4.6
Giorgio Armani,My Way Absolu,Women,36,4.7
Nishane,Hundred Silent Ways Absolu,Men,252,4.1
Maison Francis Kurkdjian,Gentle Fluidity Silver Intense,Unisex,277,4.4
Rasasi,Shuhrah Parfum,Men,74,4.2
Valentino,Uomo Intense Extreme,Women,321,4.5
Xerjoff,Alexandria II EDP,Women,196,4.1
Chanel,Coco Mademoiselle Extreme,Women,204,4.2
Guerlain,Shalimar Intense,Men,294,4.8
Giorgio Armani,Acqua Di Gio Profondo Absolu,Women,280,4.5
Jean Paul Gaultier,Scandal Extreme,Men,77,4.2
Xerjoff,Erba Pura Parfum,Unisex,327,4.3
Lattafa,Fakhar Black Parfum,Women,311,4.2
Creed,Green Irish Tweed EDP,Unisex,128,4.2
Rasasi,Hawas Ice Intense,Women,81,4.7
Dior,Dior Homme Intense EDP,Unisex,303,4.0
YSL,La Nuit de L'Homme Absolu,Women,82,4.8
Rasasi,Shuhrah Elixir,Women,255,4.2
Azzaro,Chrome Extreme,Women,88,4.7
Xerjoff,Torino21 EDP,Unisex,57,4.1
Rasasi,Shuhrah EDP,Men,90,4.5
Guerlain,L'Homme Ideal Extreme,Unisex,224,4.4
Rasasi,Fattan Parfum,Unisex,347,4.0
Afnan,9PM Absolu,Men,165,4.6
Dior,Fahrenheit EDT,Unisex,68,4.1
Prada,Paradoxe Absolu,Unisex,270,4.2
Tom Ford,Ombre Leather Absolu,Women,262,4.0
Tom Ford,Ombre Leather Extreme,Unisex,331,4.6
Chanel,Egoiste Platinum EDP,Unisex,145,4.5
Azzaro,Wanted by Night Extreme,Women,334,4.6
Afnan,SNOI Absolu,Women,236,4.8
Maison Francis Kurkdjian,Aqua Universalis Elixir,Women,71,4.5
Tom Ford,Lost Cherry Intense,Men,167,4.5
Dior,J'adore Intense,Unisex,256,4.8
Dior,Miss Dior Elixir,Unisex,281,4.9
Jean Paul Gaultier,Le Beau Le Parfum Elixir,Women,194,4.6
Dior,Dior Homme Intense Elixir,Unisex,283,4.2
Xerjoff,Renaissance EDP,Women,75,4.2
Parfums de Marly,Layton Extreme,Women,293,4.7
Armaf,Urban Elixir,Women,57,4.1
Nishane,Ego Extreme,Women,350,4.3
Azzaro,Wanted by Night Parfum,Unisex,97,4.8
Valentino,Yellow Dream EDP,Men,341,4.7
Giorgio Armani,Acqua Di Gio Profondo Extreme,Men,266,4.8
Creed,Millésime Impérial Extreme,Women,271,4.1
Lattafa,Asad Elixir,Men,336,4.4
Versace,Eros Parfum,Women,204,4.8
Maison Francis Kurkdjian,Gentle Fluidity Silver Extreme,Men,174,4.6
Jean Paul Gaultier,Ultra Male Elixir,Unisex,277,4.2
Lattafa,Fakhar Black Elixir,Women,194,4.8
Tom Ford,Lost Cherry Elixir,Men,240,3.9
Jean Paul Gaultier,Scandal Elixir,Unisex,107,4.4
Azzaro,Wanted by Night Intense,Unisex,199,4.8
Valentino,Born In Roma Intense,Women,37,4.6
Jean Paul Gaultier,Le Beau Le Parfum,Unisex,233,4.5
Parfums de Marly,Delina Elixir,Women,350,4.6
Jean Paul Gaultier,Divine EDP,Unisex,65,4.1
Giorgio Armani,Code Parfum EDP,Unisex,81,4.3
YSL,Y EDP,Women,58,4.2
Nishane,Hundred Silent Ways EDT,Men,301,4.3
Giorgio Armani,My Way Extreme,Women,347,4.6
Jean Paul Gaultier,Divine EDT,Men,266,4.5
Valentino,Coral Fantasy Absolu,Men,268,4.8
Lattafa,Asad EDP,Women,206,4.9
YSL,La Nuit de L'Homme Elixir,Women,84,4.1
Rasasi,Shuhrah Intense,Women,181,3.9
Rasasi,Hawas Intense,Unisex,284,4.7
YSL,La Nuit de L'Homme Intense,Women,142,4.5
Guerlain,Shalimar Absolu,Unisex,100,4.5
Nishane,Ani EDP,Women,197,4.6
Dior,Dior Homme Intense Extreme,Women,181,4.6
Parfums de Marly,Layton Elixir,Men,102,4.7
Tom Ford,Black Orchid Extreme,Unisex,217,4.0
Xerjoff,Naxos Parfum,Unisex,93,4.4
Creed,Viking Elixir,Unisex,220,4.0
Tom Ford,Black Orchid EDP,Unisex,317,4.2
Guerlain,L'Homme Ideal Extreme Absolu,Men,267,4.8
YSL,L'Homme EDP,Men,53,4.8
Afnan,9PM Intense,Men,228,4.4
Afnan,SNOI Intense,Women,173,3.9
Nishane,Ani Elixir,Women,150,4.8
Afnan,Supremacy Not Only Intense,Unisex,213,4.0
Valentino,Born In Roma Absolu,Men,335,4.9
Azzaro,Chrome EDT,Men,319,4.1
Chanel,Allure Homme Sport Parfum,Men,335,3.9
Versace,Eros Flame Intense,Women,119,4.0
Armaf,Club de Nuit Sillage EDP,Women,151,4.5
Armaf,Club de Nuit Sillage Parfum,Men,94,4.6
Maison Francis Kurkdjian,Baccarat Rouge 540 Absolu,Men,273,4.3
Nishane,Ego Intense,Men,261,4.4
Guerlain,L'Homme Ideal EDP Absolu,Unisex,296,4.2
Armaf,Club de Nuit Intense Man Elixir,Women,248,4.6
Jean Paul Gaultier,Scandal EDP,Men,194,4.5
Guerlain,Vetiver Intense,Unisex,196,4.3
Guerlain,Vetiver Parfum,Women,288,4.5
Afnan,Turathi Blue Extreme,Unisex,312,4.6
Chanel,Egoiste Platinum Elixir,Men,241,4.2
Valentino,Yellow Dream Elixir,Unisex,78,4.2
Parfums de Marly,Haltane Parfum,Men,272,4.0
